"u0_intercept","u1_slope","participant_id"
0.0969255049726159,0.0058548079268141,"3"
0.110794122209439,0.00669254501319855,"4"
0.0192630378364344,0.00116358833158661,"5"
0.1195062398372,0.00721880252777911,"6"
-0.0449993941261295,-0.00271819898700482,"7"
0.149089355084709,0.00900577756288373,"8"
0.102590941005376,0.00619702992300422,"9"
0.158033378021699,0.00954604337221731,"12"
-0.241412374237496,-0.0145825712511484,"13"
-0.185304807266845,-0.0111933804705914,"14"
0.21153977245398,0.0127781097137428,"15"
-0.361708165618913,-0.0218490668256752,"16"
0.0105120572622259,0.000634983291584528,"17"
0.217038793083487,0.013110279348355,"18"
-0.106481560949017,-0.0064320437358565,"19"
0.0658890775696725,0.00398004522911052,"20"
-0.254651376694094,-0.0153822763086345,"21"
-0.0791192614689037,-0.00477921759956463,"22"
0.0942626034794091,0.0056939547357458,"23"
-0.178816100829547,-0.0108014286319644,"25"
-0.148505821199727,-0.00897052906130176,"26"
0.349930287516805,0.0211376213285096,"27"
-0.0861387292758162,-0.00520323020356952,"29"
0.246862229481509,0.014911771039085,"30"
-0.0299341810840341,-0.00180818124953806,"31"
0.360455430727988,0.021773395079919,"32"
0.185698866210963,0.0112171836938019,"33"
0.0435007014693611,0.00262767010454829,"34"
-0.0669237395572018,-0.00404254422984177,"36"
-0.263673541832149,-0.0159272623160041,"38"
-0.304789199213762,-0.0184108632714188,"39"
-0.0637615020677107,-0.00385152853046344,"40"
-0.0918120241008179,-0.00554592691195353,"41"
0.196949038322805,0.0118967529864978,"42"
0.176941960308793,0.0106882207329705,"43"
0.00742132971316813,0.00044828716697874,"46"
0.337937250651407,0.0204131791156375,"47"
0.247044925862168,0.0149228068569328,"49"
0.0534649363180534,0.00322956205438382,"50"
0.100418460754593,0.00606580074244202,"51"
-0.0176670844519178,-0.00106718439199266,"53"
-0.181769027653566,-0.0109798008713606,"54"
0.0167336516668154,0.00101080016504528,"57"
-0.144903403882168,-0.00875292419586935,"58"
-0.190963085801732,-0.0115351701164388,"60"
0.156248121875657,0.00943820455478535,"61"
0.230452176229067,0.0139205179123772,"62"
-0.141691933997789,-0.00855893460209727,"63"
0.258966130841619,0.0156429100478378,"64"
-0.113915303107117,-0.00688108067949102,"65"
0.107218393656958,0.00647655228889847,"66"
0.184232137384714,0.0111285855940464,"67"
0.387941435309321,0.0234336936519481,"69"
-0.191516444950359,-0.0115685959059735,"70"
0.36439607941225,0.0220114308906163,"71"
-0.200517842611251,-0.0121123274490001,"72"
-0.217441353298683,-0.0131345960928447,"73"
-0.091220396847616,-0.00551018952856054,"75"
0.292059411768758,0.0176419174664862,"76"
-0.254343304279229,-0.0153636671219494,"77"
0.124861469994608,0.00754228646510155,"78"
0.216386169452621,0.0130708574644216,"79"
0.148794924043752,0.00898799238659827,"80"
0.155830954233834,0.0094130054452543,"82"
-0.156358394311966,-0.009444865587239,"83"
0.243002534222102,0.014678625239058,"84"
-0.302498101991943,-0.01827246900482,"85"
-0.269131666285087,-0.016256961607451,"86"
-0.0204151131709005,-0.00123317971315769,"87"
0.156508595281007,0.00945393851210441,"89"
-0.257784646487027,-0.0155715422074884,"90"
-0.180602892903845,-0.0109093602275039,"91"
-0.186747546503469,-0.0112805294735426,"92"
-0.223703704040571,-0.0135128748624467,"93"
-0.190489587571658,-0.0115065683444743,"94"
-0.1812727724664,-0.01094982446005,"95"
-0.22233630656798,-0.0134302768964738,"96"
0.000544251192973766,3.28756213310533e-05,"97"
-0.475552876743617,-0.0287258833798639,"99"
0.214627832725572,0.0129646447208259,"100"
